Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
 Afghanistan,,,,,,,,,,,,,0.373,0.383,0.398,0.408,0.417,0.429,0.437,0.453,0.463,0.471,0.482,0.487,0.491,0.493,0.494,0.498,0.518307692,0.526164835,0.534021978,0.541879121,0.549736264,0.557593407,0.565450549,0.573307692,0.581164835,0.589021978,0.596879121,0.604736264,0.612593407
 Albania,0.645,0.626,0.61,0.613,0.619,0.632,0.641,0.641,0.652,0.662,0.669,0.676,0.682,0.689,0.694,0.704,0.711,0.72,0.724,0.729,0.741,0.752,0.767,0.771,0.773,0.776,0.782,0.785,0.799692308,0.806956044,0.81421978,0.821483516,0.828747253,0.836010989,0.843274725,0.850538462,0.857802198,0.865065934,0.87232967,0.879593407,0.886857143
 Algeria,0.577,0.581,0.587,0.591,0.595,0.6,0.608,0.617,0.627,0.636,0.644,0.653,0.664,0.674,0.684,0.692,0.698,0.707,0.709,0.719,0.729,0.736,0.74,0.745,0.747,0.749,0.753,0.754,0.767230769,0.772681319,0.778131868,0.783582418,0.789032967,0.794483516,0.799934066,0.805384615,0.810835165,0.816285714,0.821736264,0.827186813,0.832637363
 Andorra,,,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.819,0.829,0.829,0.831,0.83,0.828,0.827,0.849,0.85,0.853,0.854,0.856,0.858,0.862384615,0.865659341,0.868934066,0.872208791,0.875483516,0.878758242,0.882032967,0.885307692,0.888582418,0.891857143,0.895131868,0.898406593,0.901681319
 Angola,,,,,,,,,,0.374,0.387,0.401,0.418,0.429,0.442,0.455,0.471,0.492,0.502,0.522,0.52,0.535,0.543,0.554,0.564,0.572,0.577,0.581,0.602115385,0.61243956,0.622763736,0.633087912,0.643412088,0.653736264,0.66406044,0.674384615,0.684708791,0.695032967,0.705357143,0.715681319,0.726005495
 Antigua and Barbuda,,,,,,,,,,,,,,,,0.766,0.772,0.778,0.777,0.77,0.766,0.762,0.765,0.768,0.77,0.775,0.778,0.78,0.774230769,0.774648352,0.775065934,0.775483516,0.775901099,0.776318681,0.776736264,0.777153846,0.777571429,0.777989011,0.778406593,0.778824176,0.779241758
 Argentina,0.704,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.771,0.776,0.769,0.775,0.78,0.782,0.787,0.792,0.795,0.799,0.813,0.819,0.818,0.82,0.82,0.822,0.822,0.825,0.834730769,0.83843956,0.842148352,0.845857143,0.849565934,0.853274725,0.856983516,0.860692308,0.864401099,0.86810989,0.871818681,0.875527473,0.879236264
 Armenia,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.663,0.672,0.68,0.693,0.706,0.72,0.727,0.724,0.728,0.731,0.737,0.742,0.745,0.748,0.749,0.755,0.761846154,0.766230769,0.770615385,0.775,0.779384615,0.783769231,0.788153846,0.792538462,0.796923077,0.801307692,0.805692308,0.810076923,0.814461538
 Australia,0.866,0.867,0.868,0.872,0.875,0.883,0.886,0.889,0.892,0.895,0.898,0.9,0.903,0.904,0.907,0.908,0.911,0.915,0.92,0.921,0.923,0.925,0.929,0.931,0.933,0.936,0.938,0.939,0.943384615,0.945967033,0.948549451,0.951131868,0.953714286,0.956296703,0.958879121,0.961461538,0.964043956,0.966626374,0.969208791,0.971791209,0.974373626
 Austria,0.795,0.8,0.805,0.807,0.813,0.817,0.82,0.824,0.835,0.834,0.838,0.849,0.838,0.842,0.849,0.855,0.861,0.881,0.884,0.886,0.895,0.897,0.899,0.897,0.901,0.903,0.906,0.908,0.917461538,0.921351648,0.925241758,0.929131868,0.933021978,0.936912088,0.940802198,0.944692308,0.948582418,0.952472527,0.956362637,0.960252747,0.964142857
 Azerbaijan,,,,,,0.612,0.612,0.617,0.626,0.633,0.64,0.648,0.657,0.666,0.674,0.679,0.704,0.709,0.719,0.736,0.74,0.741,0.745,0.752,0.758,0.758,0.757,0.757,0.776653846,0.782604396,0.788554945,0.794505495,0.800456044,0.806406593,0.812357143,0.818307692,0.824258242,0.830208791,0.836159341,0.84210989,0.84806044
